Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
2,0.8247,0.0847,0.8247,0.0981,0.8271,0.0966,0.8247,0.0835,0.8259,0.0940,20,"F103, F114, F206, F18, F200, F82, F257, F252, F113, F40, F186, F265, F197, F162, F102, F182, F202, F261, F146, F104","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
3,0.8307,0.0919,0.8235,0.0769,0.8295,0.0888,0.8283,0.0818,0.8295,0.0882,20,"F103, F114, F256, F206, F18, F200, F113, F257, F82, F252, F29, F104, F186, F40, F265, F9, F182, F197, F102, F202","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
4,0.8019,0.0731,0.8031,0.0765,0.8007,0.0618,0.8031,0.0715,0.8019,0.0717,20,"F103, F114, F206, F18, F82, F257, F200, F113, F252, F256, F168, F186, F40, F265, F104, F91, F197, F102, F162, F20","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
5,0.8223,0.1108,0.8199,0.0935,0.8223,0.0974,0.8235,0.1063,0.8235,0.1183,20,"F103, F114, F182, F206, F18, F257, F82, F200, F261, F113, F252, F256, F130, F186, F40, F265, F9, F91, F197, F102","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
6,0.8019,0.0821,0.7983,0.0683,0.8019,0.0771,0.8043,0.0901,0.8031,0.0868,20,"F103, F114, F206, F18, F113, F200, F82, F257, F252, F256, F40, F186, F265, F91, F104, F71, F182, F197, F102, F202","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
7,0.7983,0.0889,0.7923,0.0750,0.7947,0.0901,0.7935,0.0881,0.7947,0.0954,20,"F103, F72, F198, F235, F206, F256, F18, F257, F265, F82, F240, F113, F186, F182, F7, F200, F85, F252, F251, F197","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
8,0.8331,0.0699,0.8307,0.0597,0.8319,0.0634,0.8331,0.0709,0.8367,0.0882,20,"F103, F114, F206, F113, F18, F200, F257, F82, F252, F256, F199, F40, F186, F265, F182, F104, F197, F102, F162, F241","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
9,0.7827,0.0981,0.7779,0.0882,0.7815,0.0916,0.7827,0.0979,0.7839,0.1059,20,"F103, F114, F18, F113, F200, F82, F257, F252, F256, F265, F91, F186, F40, F9, F130, F197, F102, F202, F146, F94","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
10,0.8223,0.0859,0.8187,0.0694,0.8223,0.0924,0.8235,0.0924,0.8235,0.0868,20,"F103, F114, F206, F18, F113, F200, F261, F252, F256, F217, F40, F186, F9, F265, F91, F182, F104, F197, F102, F202","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'uniform'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.8776,0.4949,0.8715,0.4544,0.8764,0.4941,0.8764,0.4941,0.8727,0.4375,20,"F201, F194, F146, F104, F82, F80, F87, F241, F7, F91, F20, F35, F16, F94, F213, F252, F251, F88, F206, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
