Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
6,0.9697,0.7155,0.9854,0.7153,1.0000,1.0000,1.0000,1.0000,0.9885,0.9839,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.9635,0.9506,0.9823,0.8882,1.0000,1.0000,1.0000,1.0000,0.9969,0.9930,13,"F17, F10, F1, F13, F18, F11, F5, F20, F15, F14, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.9718,0.7149,0.9833,0.7217,1.0000,1.0000,1.0000,1.0000,0.9843,0.7353,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
9,0.9708,0.9663,0.9864,0.9773,1.0000,1.0000,0.9979,0.9981,0.9927,0.9934,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.9739,0.7119,0.9760,0.7148,1.0000,1.0000,1.0000,1.0000,0.9854,0.9820,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'uniform'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
1,0.8715,0.3848,0.8812,0.4094,0.8800,0.4024,0.8800,0.4024,0.8776,0.4053,20,"F7, F20, F104, F241, F82, F80, F97, F265, F251, F91, F213, F252, F9, F94, F71, F146, F102, F47, F199, F137","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
2,0.8836,0.4097,0.8836,0.4187,0.8848,0.4115,0.8848,0.4336,0.8896,0.4274,20,"F7, F20, F104, F241, F82, F80, F265, F251, F94, F91, F252, F213, F87, F146, F172, F47, F102, F137, F199, F186","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
3,0.8788,0.4595,0.8752,0.4524,0.8800,0.4636,0.8776,0.4478,0.8788,0.4524,20,"F7, F20, F104, F241, F80, F265, F82, F232, F251, F213, F252, F9, F91, F94, F146, F47, F102, F199, F137, F206","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
4,0.8739,0.3778,0.8667,0.3750,0.8752,0.4074,0.8739,0.3757,0.8752,0.3764,20,"F7, F252, F104, F241, F82, F265, F172, F91, F251, F175, F213, F80, F9, F146, F47, F150, F20, F102, F199, F137","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
5,0.8655,0.4499,0.8619,0.4505,0.8655,0.4313,0.8655,0.4313,0.8643,0.4215,20,"F7, F20, F104, F80, F241, F265, F82, F91, F251, F232, F94, F252, F213, F9, F146, F102, F47, F199, F137, F186","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.8836,0.3892,0.8812,0.3355,0.8836,0.3892,0.8824,0.3807,0.8800,0.3289,20,"F7, F20, F104, F80, F241, F82, F265, F251, F91, F94, F213, F252, F87, F146, F223, F102, F47, F199, F137, F206","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.8920,0.4632,0.8896,0.4395,0.8908,0.4612,0.8932,0.4651,0.8944,0.4788,20,"F7, F20, F104, F241, F80, F82, F265, F97, F251, F91, F213, F252, F9, F47, F150, F146, F102, F206, F199, F137","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
8,0.8836,0.4022,0.8860,0.4123,0.8836,0.4000,0.8836,0.4000,0.8836,0.4000,20,"F7, F20, F104, F80, F241, F82, F94, F251, F91, F265, F213, F252, F97, F9, F146, F102, F47, F137, F199, F256","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
9,0.8920,0.3873,0.8872,0.3122,0.8920,0.3876,0.8920,0.3891,0.8872,0.3137,20,"F7, F20, F104, F241, F80, F82, F265, F97, F251, F91, F94, F213, F252, F9, F146, F102, F47, F137, F206, F199","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.9028,0.3693,0.9004,0.3674,0.9016,0.3613,0.8992,0.3572,0.9004,0.3546,20,"F7, F20, F104, F241, F80, F82, F265, F251, F91, F94, F252, F213, F87, F97, F146, F102, F199, F47, F137, F206","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
